SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe
20MICRONS,20260109,214.85,217.15,194.3,195.72,124745973.06,20 MICRONS LTD,Diversified,Cash Only,20260109,202.39000000000001,205.72500000000002,199.055,205.72500000000002,199.055,6.670000000000016,3.407929695483352,Wide,Bearish,Below CPR,False,False,1.0,20,97531306.055,False,False,Lower,True,Risk Off,False,None,15.810714285714287,,,0.42186582335667594,1.2790351950137226,False,False,No setup,0.0,None,Week 12 Jan – 16 Jan 2026,Weekly
21STCENMGM,20260109,48.41,50.37,46.43,46.43,1423196.98,21ST CENTURY MGMT SERVICE,Diversified,Cash Only,20260109,47.74333333333333,48.4,47.086666666666666,48.4,47.086666666666666,1.3133333333333326,2.8286309139205956,Wide,Bearish,Below CPR,False,False,0.9,20,1350067.455,False,False,Lower,True,Risk Off,False,None,3.7607142857142866,,,0.3492244381133267,1.0541673119584976,False,False,No setup,0.0,None,Week 12 Jan – 16 Jan 2026,Weekly
360ONE,20260109,1208.0,1221.0,1130.0,1140.9,4953048863.3,360 ONE WAM LIMITED,Financial Services,Cash Only,20260109,1163.9666666666667,1175.5,1152.4333333333334,1175.5,1152.4333333333334,23.066666666666606,2.021795658398335,Wide,Bearish,Below CPR,False,False,0.9,20,3464965128.05,False,False,Lower,True,Risk Off,False,None,75.44285714285718,,,0.3057501735782355,1.429465717621077,False,False,No setup,0.0,None,Week 12 Jan – 16 Jan 2026,Weekly
3IINFOLTD,20260109,16.9,17.0,15.3,15.38,51199792.03,3I INFOTECH LIMITED,Information Technology,Cash Only,20260109,15.893333333333333,16.15,15.636666666666667,16.15,15.636666666666667,0.5133333333333319,3.337667967056774,Wide,Bearish,Below CPR,False,False,0.9,20,39844127.78,False,False,Lower,True,Risk Off,False,None,1.5799999999999998,,,0.3248945147679316,1.285002204407648,False,False,No setup,0.0,None,Week 12 Jan – 16 Jan 2026,Weekly
3MINDIA,20260109,36360.0,36725.0,34000.0,34135.0,684181805.0,3M INDIA LIMITED,Diversified,Cash Only,20260109,34953.333333333336,35362.5,34544.16666666667,35362.5,34544.16666666667,818.3333333333285,2.39734387969336,Wide,Bearish,Below CPR,False,False,0.95,20,597586345.0,False,False,Lower,True,Risk Off,False,None,1897.857142857143,,,0.4311880567055551,1.1449086993445274,False,False,No setup,0.0,None,Week 12 Jan – 16 Jan 2026,Weekly
3PLAND,20260109,37.8,38.5,36.05,36.37,591204.6599999999,3P LAND HOLDINGS LIMITED,Diversified,Cash Only,20260109,36.97333333333333,37.275,36.67166666666666,37.275,36.67166666666666,0.6033333333333388,1.658876363303104,Wide,Bearish,Below CPR,False,False,0.8,20,1197014.435,False,False,Overlapping,True,Risk Off,False,None,3.849285714285714,,,0.15673903630853114,0.4938993571953039,False,False,No setup,0.0,None,Week 12 Jan – 16 Jan 2026,Weekly
5PAISA,20260109,369.05,393.7,355.65,359.3,479777311.35,5PAISA CAPITAL LIMITED,Stock Broking,Cash Only,20260109,369.54999999999995,374.67499999999995,364.42499999999995,374.67499999999995,364.42499999999995,10.25,2.852769273587531,Wide,Bearish,Below CPR,False,False,0.9,20,76360534.5,False,False,Higher,True,Risk Off,False,None,33.785714285714285,,,0.3033826638477801,6.283053340204161,False,False,No setup,0.0,None,Week 12 Jan – 16 Jan 2026,Weekly
63MOONS,20260109,720.0,729.5,650.3,653.55,257968380.0,63 MOONS TECHNOLOGIES LTD,Diversified,Cash Only,20260109,677.7833333333333,689.9,665.6666666666666,689.9,665.6666666666666,24.23333333333335,3.70795399484865,Wide,Bearish,Below CPR,False,False,0.9,20,388118605.82500005,False,False,Lower,True,Risk Off,False,None,71.78928571428573,,,0.33756197867436133,0.6646637809379232,False,False,No setup,0.0,None,Week 12 Jan – 16 Jan 2026,Weekly
A2ZINFRA,20260109,15.53,16.0,14.71,14.81,14407730.950000001,A2Z INFRA ENGINEERING LTD,Real Estate & Infra,Cash Only,20260109,15.173333333333334,15.355,14.991666666666667,15.355,14.991666666666667,0.3633333333333333,2.453297321629529,Wide,Bearish,Below CPR,False,False,0.45454545454545453,11,18546484.6,False,False,Lower,False,Risk Off,False,None,,,,,0.7768443055779962,False,False,No setup,0.0,None,Week 12 Jan – 16 Jan 2026,Weekly
AADHARHFC,20260109,504.95,509.25,475.2,475.95,504969223.1,AADHAR HOUSING FINANCE L,Financial Services,Cash Only,20260109,486.8,492.225,481.375,492.225,481.375,10.850000000000023,2.279651223868058,Wide,Bearish,Below CPR,False,False,1.0,20,785365823.0,False,False,Overlapping,True,Risk Off,False,None,22.653571428571432,,,0.4789531767302548,0.6429732594819064,False,False,No setup,0.0,None,Week 12 Jan – 16 Jan 2026,Weekly
